,0
Start,2020-01-01 00:00:00
End,2026-03-19 00:00:00
Duration,2269 days 00:00:00
Exposure Time [%],0.0
Equity Final [$],10000.0
Equity Peak [$],10000.0
Return [%],0.0
Buy & Hold Return [%],625.7342729366903
Return (Ann.) [%],0.0
Volatility (Ann.) [%],0.0
CAGR [%],0.0
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,
Alpha [%],0.0
Beta,0.0
Max. Drawdown [%],-0.0
Avg. Drawdown [%],
Max. Drawdown Duration,
Avg. Drawdown Duration,
# Trades,0
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg. Trade [%],
Max. Trade Duration,
Avg. Trade Duration,
Profit Factor,
Expectancy [%],
SQN,
Kelly Criterion,
_strategy,OpeningRangeBreakout
_equity_curve,"             Equity  DrawdownPct  DrawdownDuration
Date                                              
2020-01-01  10000.0          0.0               NaN
2020-01-02  10000.0          0.0               NaN
2020-01-03  10000.0          0.0               NaN
2020-01-04  10000.0          0.0               NaN
2020-01-05  10000.0          0.0               NaN
...             ...          ...               ...
2026-03-15  10000.0          0.0               NaN
2026-03-16  10000.0          0.0               NaN
2026-03-17  10000.0          0.0               NaN
2026-03-18  10000.0          0.0               NaN
2026-03-19  10000.0          0.0               NaN

[2270 rows x 3 columns]"
_trades,"Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []"
