,0
Start,2020-01-01 00:00:00
End,2024-12-20 00:00:00
Duration,1815 days 00:00:00
Exposure Time [%],15.143171806167402
Equity Final [$],0.0
Equity Peak [$],14925.99096435547
Commissions [$],110.89397338867188
Return [%],-100.0
Buy & Hold Return [%],1029.1287299674036
Return (Ann.) [%],0
Volatility (Ann.) [%],1498.145721379561
CAGR [%],-100.0
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Alpha [%],
Beta,
Max. Drawdown [%],-100.0
Avg. Drawdown [%],-34.98524725135219
Max. Drawdown Duration,1744 days 00:00:00
Avg. Drawdown Duration,585 days 00:00:00
# Trades,2
Win Rate [%],50.0
Best Trade [%],36.642746166939354
Worst Trade [%],-210.7811677285934
Avg. Trade [%],0
Max. Trade Duration,239 days 00:00:00
Avg. Trade Duration,137 days 00:00:00
Profit Factor,0.17384259970568805
Expectancy [%],-87.069210780827
SQN,-0.5990985750380048
Kelly Criterion,-1.4943787617986095
_strategy,SMAStrategy
_equity_curve,"             Equity  DrawdownPct DrawdownDuration
Date                                             
2020-01-01  10000.0          0.0              NaT
2020-01-02  10000.0          0.0              NaT
2020-01-03  10000.0          0.0              NaT
2020-01-04  10000.0          0.0              NaT
2020-01-05  10000.0          0.0              NaT
...             ...          ...              ...
2024-12-16      0.0          1.0              NaT
2024-12-17      0.0          1.0              NaT
2024-12-18      0.0          1.0              NaT
2024-12-19      0.0          1.0              NaT
2024-12-20      0.0          1.0        1744 days

[1816 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar   EntryPrice     ExitPrice    SL    TP  ...   ExitTime  Duration   Tag Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,20) Exit_SMA(C,20)
0    -1        54       88  9921.583008   6245.624512  None  None  ... 2020-03-29   34 days  None     9782.217285    6339.675684     9893.026660    6100.741675
1    -1       111      350  6879.784180  21310.597656  None  None  ... 2020-12-16  239 days  None     6972.302734   19031.094531     6985.882788   18879.434375

[2 rows x 18 columns]"
